Rigidity(GV),Filter,Latitude,Longitude,X,Y,Z
19.8710,1,40.8830,60.9045,6.12932,9.73253,11.0460
19.8700,1,40.8821,60.9044,6.12822,9.73044,11.0436
19.8690,1,40.8811,60.9042,6.12712,9.72836,11.0411
19.8680,1,40.8801,60.9040,6.12602,9.72627,11.0387
19.8670,1,40.8792,60.9039,6.12492,9.72419,11.0362
19.8660,1,40.8782,60.9037,6.12382,9.72210,11.0338
19.8650,1,40.8772,60.9035,6.12272,9.72002,11.0313
19.8640,1,40.8763,60.9033,6.12162,9.71794,11.0289
19.8630,1,40.8753,60.9032,6.12052,9.71586,11.0264
19.8620,1,40.8743,60.9030,6.11942,9.71377,11.0240
19.8610,1,40.8734,60.9028,6.11833,9.71169,11.0215
19.8600,1,40.8724,60.9026,6.11723,9.70961,11.0191
19.8590,1,40.8714,60.9024,6.11613,9.70753,11.0166
19.8580,1,40.8704,60.9023,6.11503,9.70545,11.0142
19.8570,1,40.8695,60.9021,6.11394,9.70338,11.0117
19.8560,1,40.8685,60.9019,6.11284,9.70130,11.0093
19.8550,1,40.8675,60.9017,6.11174,9.69922,11.0068
19.8540,1,40.8666,60.9016,6.11065,9.69714,11.0044
19.8530,1,40.8656,60.9014,6.10955,9.69507,11.0020
19.8520,1,40.8646,60.9012,6.10846,9.69299,10.9995
19.8510,1,40.8636,60.9010,6.10736,9.69092,10.9971
19.8500,1,40.8627,60.9008,6.10627,9.68884,10.9946
19.8490,1,40.8617,60.9007,6.10517,9.68677,10.9922
19.8480,1,40.7401,60.8879,6.64749,10.6609,11.9544
19.8470,1,40.7392,60.8878,6.64628,10.6586,11.9517
19.8460,1,40.7383,60.8877,6.64507,10.6564,11.9490
19.8450,1,40.7374,60.8876,6.64386,10.6541,11.9464
19.8440,1,40.7365,60.8875,6.64266,10.6518,11.9437
19.8430,1,40.7356,60.8874,6.64145,10.6495,11.9410
19.8420,1,40.7346,60.8873,6.64024,10.6472,11.9383
19.8410,1,40.7337,60.8872,6.63904,10.6449,11.9357
19.8400,1,40.7328,60.8871,6.63783,10.6427,11.9330
19.8390,1,40.7319,60.8870,6.63662,10.6404,11.9303
19.8380,1,40.7310,60.8869,6.63542,10.6381,11.9276
19.8370,1,40.7301,60.8868,6.63421,10.6358,11.9250
19.8360,1,40.7292,60.8867,6.63301,10.6335,11.9223
19.8350,1,40.7282,60.8866,6.63181,10.6313,11.9196
19.8340,1,40.7273,60.8865,6.63060,10.6290,11.9170
19.8330,1,40.7264,60.8864,6.62940,10.6267,11.9143
19.8320,1,40.7255,60.8863,6.62819,10.6244,11.9116
19.8310,1,40.7246,60.8862,6.62699,10.6222,11.9090
19.8300,1,40.7237,60.8861,6.62579,10.6199,11.9063
19.8290,1,40.7227,60.8860,6.62459,10.6176,11.9036
19.8280,1,40.7218,60.8859,6.62339,10.6153,11.9010
19.8270,1,40.7209,60.8858,6.62218,10.6131,11.8983
19.8260,1,40.7200,60.8857,6.62098,10.6108,11.8956
19.8250,1,40.7191,60.8856,6.61978,10.6085,11.8930
19.8240,1,40.7181,60.8855,6.61858,10.6063,11.8903
19.8230,1,40.7172,60.8854,6.61738,10.6040,11.8876
19.8220,1,40.7163,60.8853,6.61618,10.6017,11.8850
19.8210,1,40.7154,60.8852,6.61499,10.5995,11.8823
19.8200,1,40.7145,60.8851,6.61379,10.5972,11.8797
19.8190,1,40.7135,60.8849,6.61259,10.5949,11.8770
19.8180,1,40.7126,60.8848,6.61139,10.5927,11.8744
19.8170,1,40.7117,60.8847,6.61019,10.5904,11.8717
19.8160,1,40.7108,60.8846,6.60900,10.5881,11.8691
19.8150,1,40.7099,60.8845,6.60780,10.5859,11.8664
19.8140,1,40.7089,60.8844,6.60660,10.5836,11.8637
19.8130,1,40.7080,60.8843,6.60541,10.5813,11.8611
19.8120,1,40.7071,60.8842,6.60421,10.5791,11.8584
19.8110,1,40.7062,60.8841,6.60302,10.5768,11.8558
19.8100,1,40.7053,60.8840,6.60182,10.5746,11.8531
19.8090,1,40.7043,60.8839,6.60063,10.5723,11.8505
19.8080,1,40.7034,60.8838,6.59943,10.5700,11.8478
19.8070,1,40.7025,60.8836,6.59824,10.5678,11.8452
19.8060,1,40.7016,60.8835,6.59705,10.5655,11.8426
19.8050,1,40.7006,60.8834,6.59585,10.5633,11.8399
19.8040,1,40.6997,60.8833,6.59466,10.5610,11.8373
19.8030,1,40.6988,60.8832,6.59347,10.5588,11.8346
19.8020,1,40.6979,60.8831,6.59228,10.5565,11.8320
19.8010,1,40.6970,60.8830,6.59108,10.5542,11.8293
19.8000,1,40.6960,60.8829,6.58989,10.5520,11.8267
19.7990,1,40.6951,60.8828,6.58870,10.5497,11.8241
19.7980,1,40.6942,60.8826,6.58751,10.5475,11.8214
19.7970,1,40.6933,60.8825,6.58632,10.5452,11.8188
19.7960,1,40.6923,60.8824,6.58513,10.5430,11.8161
19.7950,1,40.6914,60.8823,6.58394,10.5407,11.8135
19.7940,1,40.6905,60.8822,6.58275,10.5385,11.8109
19.7930,1,40.6896,60.8821,6.58157,10.5362,11.8082
19.7920,1,40.6886,60.8820,6.58038,10.5340,11.8056
19.7910,1,40.6877,60.8818,6.57919,10.5317,11.8030
19.7900,1,40.6868,60.8817,6.57800,10.5295,11.8003
19.7890,1,40.6858,60.8816,6.57681,10.5272,11.7977
19.7880,1,40.6849,60.8815,6.57563,10.5250,11.7951
19.7870,1,40.6840,60.8814,6.57444,10.5227,11.7924
19.7860,1,40.6831,60.8813,6.57326,10.5205,11.7898
19.7850,1,40.6821,60.8811,6.57207,10.5183,11.7872
19.7840,1,40.6812,60.8810,6.57088,10.5160,11.7845
19.7830,1,40.6803,60.8809,6.56970,10.5138,11.7819
19.7820,1,40.6794,60.8808,6.56852,10.5115,11.7793
19.7810,1,40.6784,60.8807,6.56733,10.5093,11.7767
19.7800,1,40.6775,60.8805,6.56615,10.5070,11.7740
19.7790,1,40.6766,60.8804,6.56496,10.5048,11.7714
19.7780,1,40.6756,60.8803,6.56378,10.5026,11.7688
19.7770,1,40.6747,60.8802,6.56260,10.5003,11.7662
19.7760,1,40.6738,60.8801,6.56142,10.4981,11.7635
19.7750,1,40.6729,60.8799,6.56023,10.4958,11.7609
19.7740,1,40.6719,60.8798,6.55905,10.4936,11.7583
19.7730,1,40.6710,60.8797,6.55787,10.4914,11.7557
19.7720,1,40.6701,60.8796,6.55669,10.4891,11.7531
19.7710,1,40.6691,60.8795,6.55551,10.4869,11.7505
19.7700,1,40.6682,60.8793,6.55433,10.4847,11.7478
19.7690,1,40.6673,60.8792,6.55315,10.4824,11.7452
19.7680,1,40.6663,60.8791,6.55197,10.4802,11.7426
19.7670,1,40.6654,60.8790,6.55079,10.4780,11.7400
19.7660,1,40.6645,60.8788,6.54961,10.4757,11.7374
19.7650,1,40.6635,60.8787,6.54843,10.4735,11.7348
19.7640,1,40.6626,60.8786,6.54726,10.4713,11.7321
19.7630,1,40.6617,60.8785,6.54608,10.4690,11.7295
19.7620,1,40.6607,60.8783,6.54490,10.4668,11.7269
19.7610,1,40.6598,60.8782,6.54373,10.4646,11.7243
19.7600,1,40.6589,60.8781,6.54255,10.4624,11.7217
19.7590,1,40.6579,60.8780,6.54137,10.4601,11.7191
19.7580,1,40.6570,60.8778,6.54020,10.4579,11.7165
19.7570,1,40.6561,60.8777,6.53902,10.4557,11.7139
19.7560,1,40.6551,60.8776,6.53785,10.4534,11.7113
19.7550,1,40.6542,60.8775,6.53667,10.4512,11.7087
19.7540,1,40.6533,60.8773,6.53550,10.4490,11.7061
19.7530,1,40.6523,60.8772,6.53432,10.4468,11.7035
19.7520,1,40.6514,60.8771,6.53315,10.4445,11.7009
19.7510,1,40.6505,60.8770,6.53198,10.4423,11.6983
19.7500,1,40.6495,60.8768,6.53080,10.4401,11.6957
19.7490,1,40.6486,60.8767,6.52963,10.4379,11.6931
19.7480,1,40.6477,60.8766,6.52846,10.4357,11.6905
19.7470,1,40.6467,60.8764,6.52729,10.4334,11.6879
19.7460,1,40.6458,60.8763,6.52612,10.4312,11.6853
19.7450,1,40.6449,60.8762,6.52495,10.4290,11.6827
19.7440,1,40.6439,60.8761,6.52377,10.4268,11.6801
19.7430,1,40.6430,60.8759,6.52260,10.4246,11.6775
19.7420,1,40.6420,60.8758,6.52143,10.4223,11.6749
19.7410,1,40.6411,60.8757,6.52026,10.4201,11.6723
19.7400,1,40.6402,60.8755,6.51910,10.4179,11.6697
19.7390,1,40.6392,60.8754,6.51793,10.4157,11.6671
19.7380,1,40.6383,60.8753,6.51676,10.4135,11.6645
19.7370,1,40.6374,60.8751,6.51559,10.4113,11.6619
19.7360,1,40.6364,60.8750,6.51442,10.4091,11.6593
19.7350,1,40.6355,60.8749,6.51326,10.4068,11.6567
19.7340,1,40.6345,60.8747,6.51209,10.4046,11.6541
19.7330,1,40.6336,60.8746,6.51092,10.4024,11.6516
19.7320,1,40.6327,60.8745,6.50976,10.4002,11.6490
19.7310,1,40.6317,60.8743,6.50859,10.3980,11.6464
19.7300,1,40.6308,60.8742,6.50742,10.3958,11.6438
19.7290,1,40.6298,60.8741,6.50626,10.3936,11.6412
19.7280,1,40.6289,60.8739,6.50509,10.3914,11.6386
19.7270,1,40.6280,60.8738,6.50393,10.3892,11.6360
19.7260,1,40.6270,60.8736,6.50276,10.3870,11.6335
19.7250,1,40.6261,60.8735,6.50160,10.3848,11.6309
19.7240,1,40.6251,60.8734,6.50044,10.3826,11.6283
19.7230,1,40.6242,60.8732,6.49927,10.3803,11.6257
19.7220,1,40.6233,60.8731,6.49811,10.3781,11.6231
19.7210,1,40.6223,60.8730,6.49695,10.3759,11.6206
19.7200,1,40.6214,60.8728,6.49579,10.3737,11.6180
19.7190,1,40.6204,60.8727,6.49463,10.3715,11.6154
19.7180,1,40.6195,60.8726,6.49346,10.3693,11.6128
19.7170,1,40.6185,60.8724,6.49230,10.3671,11.6103
19.7160,1,40.6176,60.8723,6.49114,10.3649,11.6077
19.7150,1,40.6167,60.8721,6.48998,10.3627,11.6051
19.7140,1,40.6157,60.8720,6.48882,10.3605,11.6025
19.7130,1,40.6148,60.8719,6.48766,10.3583,11.6000
19.7120,1,40.6138,60.8717,6.48650,10.3561,11.5974
19.7110,1,40.6129,60.8716,6.48535,10.3539,11.5948
19.7100,1,40.6119,60.8714,6.48419,10.3517,11.5922
19.7090,1,40.6110,60.8713,6.48303,10.3495,11.5897
19.7080,1,40.6100,60.8711,6.48187,10.3474,11.5871
19.7070,1,40.6091,60.8710,6.48071,10.3452,11.5845
19.7060,1,40.6082,60.8709,6.47956,10.3430,11.5820
19.7050,1,40.6072,60.8707,6.47840,10.3408,11.5794
19.7040,1,40.6063,60.8706,6.47724,10.3386,11.5768
19.7030,1,40.6053,60.8704,6.47609,10.3364,11.5743
19.7020,1,40.6044,60.8703,6.47493,10.3342,11.5717
19.7010,1,40.6034,60.8701,6.47378,10.3320,11.5691
19.7000,1,40.6025,60.8700,6.47262,10.3298,11.5666
19.6990,1,40.6015,60.8699,6.47147,10.3276,11.5640
