Rigidity(GV),Filter,Latitude,Longitude,X,Y,Z
19.7560,1,40.7230,60.8732,6.31495,10.0462,11.3177
19.7550,1,40.7218,60.8730,6.31482,10.0458,11.3169
19.7540,1,40.7207,60.8728,6.31468,10.0455,11.3162
19.7530,1,40.7195,60.8727,6.31454,10.0451,11.3154
19.7520,1,40.7183,60.8725,6.31440,10.0448,11.3146
19.7510,1,40.7171,60.8723,6.31427,10.0444,11.3139
19.7500,1,40.7160,60.8721,6.31413,10.0440,11.3131
19.7490,1,40.7148,60.8719,6.31399,10.0437,11.3124
19.7480,1,40.7136,60.8717,6.31386,10.0433,11.3116
19.7470,1,40.7124,60.8715,6.31372,10.0430,11.3109
19.7460,1,40.7104,60.8714,6.31742,10.0495,11.3169
19.7450,1,40.7093,60.8712,6.31728,10.0491,11.3161
19.7440,1,40.7081,60.8710,6.31714,10.0488,11.3154
19.7430,1,40.7069,60.8708,6.31701,10.0484,11.3146
19.7420,1,40.7057,60.8706,6.31687,10.0480,11.3139
19.7410,1,40.7046,60.8705,6.31673,10.0477,11.3131
19.7400,1,40.7034,60.8703,6.31659,10.0473,11.3124
19.7390,1,40.7022,60.8701,6.31646,10.0469,11.3116
19.7380,1,40.7010,60.8699,6.31632,10.0466,11.3108
19.7370,1,40.6999,60.8697,6.31618,10.0462,11.3101
19.7360,1,40.6987,60.8695,6.31604,10.0459,11.3093
19.7350,1,40.6975,60.8693,6.31591,10.0455,11.3086
19.7340,1,40.6963,60.8691,6.31577,10.0451,11.3078
19.7330,1,40.6952,60.8690,6.31563,10.0448,11.3071
19.7320,1,40.6940,60.8688,6.31549,10.0444,11.3063
19.7310,1,40.6920,60.8686,6.31919,10.0509,11.3123
19.7300,1,40.6908,60.8684,6.31906,10.0506,11.3116
19.7290,1,40.6896,60.8682,6.31892,10.0502,11.3108
19.7280,1,40.6885,60.8681,6.31878,10.0499,11.3100
19.7270,1,40.6873,60.8679,6.31864,10.0495,11.3093
19.7260,1,40.6861,60.8677,6.31851,10.0491,11.3085
19.7250,1,40.6849,60.8675,6.31837,10.0488,11.3078
19.7240,1,40.6837,60.8673,6.31823,10.0484,11.3070
19.7230,1,40.6826,60.8671,6.31809,10.0480,11.3063
19.7220,1,40.6814,60.8669,6.31796,10.0477,11.3055
19.7210,1,40.6802,60.8667,6.31782,10.0473,11.3047
19.7200,1,40.6790,60.8665,6.31768,10.0470,11.3040
19.7190,1,40.6779,60.8664,6.31755,10.0466,11.3032
19.7180,1,40.6767,60.8662,6.31741,10.0462,11.3025
19.7170,1,40.6755,60.8660,6.31727,10.0459,11.3017
19.7160,1,40.6735,60.8658,6.32097,10.0524,11.3077
19.7150,1,40.6723,60.8656,6.32083,10.0520,11.3070
