X,Y,Z
8912.73,2205.12,1655.64
8933.43,2219.09,1629.61
8954.14,2233.37,1603.37
8974.85,2247.95,1576.91
8995.57,2262.86,1550.24
9016.27,2278.09,1523.35
9036.97,2293.64,1496.24
9057.65,2309.54,1468.91
9078.32,2325.77,1441.36
9098.95,2342.36,1413.59
9119.55,2359.30,1385.59
9140.11,2376.59,1357.37
9160.63,2394.26,1328.93
9181.09,2412.30,1300.26
9201.49,2430.72,1271.36
9221.83,2449.52,1242.24
9242.10,2468.72,1212.89
9262.29,2488.31,1183.31
9282.38,2508.31,1153.50
9302.39,2528.71,1123.47
9322.29,2549.54,1093.21
9342.08,2570.78,1062.72
9361.74,2592.45,1032.01
9381.28,2614.55,1001.07
9400.69,2637.09,969.908
9419.95,2660.08,938.521
9439.05,2683.51,906.913
9457.99,2707.40,875.085
9476.76,2731.75,843.037
9495.35,2756.56,810.773
9513.74,2781.85,778.295
9531.93,2807.60,745.604
9549.91,2833.84,712.704
9567.66,2860.56,679.597
9585.18,2887.77,646.286
9602.46,2915.46,612.775
9619.49,2943.66,579.067
9636.25,2972.35,545.166
9652.73,3001.55,511.076
9668.93,3031.25,476.801
9684.83,3061.46,442.346
9700.41,3092.18,407.717
9715.68,3123.42,372.917
9730.62,3155.18,337.952
9745.21,3187.45,302.828
9759.44,3220.24,267.551
9773.31,3253.56,232.126
9786.80,3287.40,196.562
9799.89,3321.76,160.863
9812.58,3356.65,125.038
9824.86,3392.07,89.0925
9836.71,3428.01,53.0354
9848.12,3464.48,16.8742
9859.08,3501.47,-19.3831
9869.58,3538.98,-55.7281
9879.60,3577.02,-92.1521
9889.14,3615.58,-128.646
9898.18,3654.65,-165.202
9906.70,3694.25,-201.809
9914.71,3734.36,-238.457
9922.18,3774.97,-275.138
9929.11,3816.10,-311.841
9935.48,3857.73,-348.556
9941.29,3899.86,-385.271
9946.52,3942.48,-421.976
9951.15,3985.60,-458.661
9955.19,4029.19,-495.313
9958.62,4073.27,-531.921
9961.43,4117.82,-568.475
9963.61,4162.84,-604.961
9965.15,4208.31,-641.368
9966.04,4254.24,-677.684
9966.27,4300.62,-713.896
9965.83,4347.43,-749.993
9964.72,4394.66,-785.961
9962.92,4442.32,-821.787
9960.43,4490.39,-857.460
9957.24,4538.86,-892.966
9953.33,4587.72,-928.292
9948.72,4636.96,-963.425
9943.38,4686.58,-998.352
9937.31,4736.55,-1033.06
