Rigidity(GV),Filter,Latitude,Longitude,X,Y,Z
6.89700,1,18.2131,186.321,-9.70564,3.79979,3.13220
6.89600,1,18.2102,186.393,-9.71419,3.78821,3.13629
6.89500,1,18.2086,186.458,-9.71255,3.77776,3.13700
6.89400,1,18.2056,186.530,-9.72108,3.76612,3.14107
6.89300,1,18.2025,186.602,-9.72960,3.75445,3.14513
6.89200,1,18.2008,186.668,-9.72793,3.74393,3.14582
6.89100,1,18.1976,186.740,-9.73642,3.73220,3.14986
6.89000,1,18.1957,186.806,-9.73474,3.72165,3.15054
6.88900,1,18.1924,186.878,-9.74321,3.70986,3.15457
6.88800,1,18.1890,186.951,-9.75166,3.69803,3.15860
6.88700,1,18.1869,187.017,-9.74994,3.68741,3.15926
6.88600,1,18.1834,187.090,-9.75837,3.67552,3.16327
6.88500,1,18.1798,187.163,-9.76679,3.66360,3.16727
6.88400,1,18.1776,187.229,-9.76504,3.65292,3.16791
6.88300,1,18.1738,187.302,-9.77343,3.64093,3.17189
6.88200,1,18.1715,187.369,-9.77166,3.63022,3.17252
6.88100,1,18.1676,187.442,-9.78003,3.61817,3.17649
6.88000,1,18.1637,187.516,-9.78838,3.60608,3.18045
6.87900,1,18.1611,187.583,-9.78658,3.59531,3.18106
6.87800,1,18.1571,187.657,-9.79491,3.58316,3.18500
6.87700,1,18.1530,187.731,-9.80322,3.57097,3.18894
6.87600,1,18.1502,187.798,-9.80139,3.56013,3.18953
6.87500,1,18.1460,187.872,-9.80967,3.54789,3.19345
6.87400,1,18.1431,187.940,-9.80782,3.53701,3.19402
6.87300,1,18.1387,188.014,-9.81608,3.52470,3.19792
6.87200,1,18.1342,188.088,-9.82432,3.51235,3.20182
6.87100,1,18.1311,188.156,-9.82244,3.50141,3.20237
6.87000,1,18.1265,188.231,-9.83065,3.48900,3.20625
6.86900,1,18.1219,188.306,-9.83885,3.47655,3.21012
6.86800,1,18.1186,188.374,-9.83694,3.46554,3.21065
6.86700,1,18.1138,188.449,-9.84511,3.45303,3.21450
6.86600,1,18.1089,188.524,-9.85327,3.44048,3.21835
6.86500,1,18.1054,188.593,-9.85132,3.42941,3.21885
6.86400,1,18.1003,188.668,-9.85945,3.41679,3.22268
6.86300,1,18.0953,188.744,-9.86756,3.40414,3.22650
6.86200,1,18.0915,188.813,-9.86558,3.39301,3.22698
6.86100,1,18.0863,188.889,-9.87367,3.38029,3.23078
6.86000,1,18.0810,188.965,-9.88174,3.36753,3.23457
6.85900,1,18.0770,189.034,-9.87972,3.35633,3.23503
6.85800,1,18.0716,189.110,-9.88776,3.34351,3.23880
6.85700,1,18.0661,189.187,-9.89578,3.33065,3.24257
6.85600,1,18.0619,189.256,-9.89373,3.31939,3.24300
6.85500,1,18.0562,189.333,-9.90173,3.30646,3.24675
6.85400,1,18.0505,189.410,-9.90971,3.29349,3.25048
6.85300,1,18.0461,189.480,-9.90762,3.28216,3.25089
6.85200,1,18.0402,189.557,-9.91557,3.26913,3.25461
6.85100,1,18.0342,189.634,-9.92350,3.25606,3.25832
6.85000,1,18.0296,189.704,-9.92137,3.24467,3.25870
6.84900,1,18.0234,189.781,-9.92928,3.23153,3.26239
6.84800,1,18.0172,189.859,-9.93717,3.21835,3.26607
6.84700,1,18.0124,189.930,-9.93500,3.20689,3.26642
6.84600,1,18.0060,190.007,-9.94286,3.19365,3.27008
6.84500,1,17.9996,190.085,-9.95070,3.18036,3.27373
6.84400,1,17.9945,190.157,-9.94850,3.16883,3.27406
6.84300,1,17.9879,190.235,-9.95631,3.15548,3.27769
6.84200,1,17.9812,190.313,-9.96410,3.14209,3.28130
6.84100,1,17.9758,190.385,-9.96186,3.13049,3.28161
6.84000,1,17.9690,190.463,-9.96962,3.11703,3.28521
6.83900,1,17.9621,190.541,-9.97736,3.10354,3.28879
6.83800,1,17.9565,190.614,-9.97508,3.09187,3.28907
6.83700,1,17.9494,190.692,-9.98279,3.07830,3.29263
6.83600,1,17.9422,190.771,-9.99048,3.06470,3.29619
6.83500,1,17.9350,190.850,-9.99816,3.05105,3.29973
6.83400,1,17.9291,190.923,-9.99582,3.03929,3.29997
6.83300,1,17.9216,191.002,-10.0035,3.02557,3.30349
6.83200,1,17.9141,191.082,-10.0111,3.01181,3.30700
6.83100,1,17.9080,191.155,-10.0087,2.99998,3.30721
6.83000,1,17.9003,191.235,-10.0163,2.98615,3.31070
6.82900,1,17.8925,191.314,-10.0239,2.97228,3.31417
6.82800,1,17.8861,191.388,-10.0215,2.96038,3.31436
6.82700,1,17.8782,191.468,-10.0290,2.94644,3.31781
6.82600,1,17.8702,191.548,-10.0365,2.93246,3.32125
6.82500,1,17.8621,191.629,-10.0440,2.91844,3.32468
6.82400,1,17.8553,191.703,-10.0415,2.90644,3.32482
6.82300,1,17.8470,191.783,-10.0490,2.89235,3.32823
6.82200,1,17.8386,191.864,-10.0565,2.87822,3.33162
6.82100,1,17.8316,191.939,-10.0539,2.86615,3.33174
6.82000,1,17.8230,192.020,-10.0614,2.85194,3.33511
6.81900,1,17.8144,192.101,-10.0687,2.83770,3.33846
6.81800,1,17.8057,192.182,-10.0761,2.82341,3.34181
6.81700,1,17.7982,192.257,-10.0735,2.81124,3.34188
6.81600,1,17.7893,192.339,-10.0809,2.79688,3.34520
6.81500,1,17.7803,192.421,-10.0882,2.78248,3.34851
6.81400,1,17.7712,192.502,-10.0955,2.76803,3.35180
6.81300,1,17.7634,192.578,-10.0929,2.75576,3.35183
